Emp_ID,Emp_Age,Emp_Gender,Education_Level,Education_Field,Dist_from_home,Company_name,Location_HQ,Industry,Country,Emp_Job_Role,Emp_Job_Level,Emp_Job_Satisfaction,Emp_Salary,Emp_Salary_Hike_Per,Emp_Performance_Rating,OverTime,No_Companies_Worked,Emp_Experience,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Work_Life_Balance,Business_Travel,Laid_Off_Count,Laid_Off_Percentage,Laid_Off_Date,Laid_off_Month_Year
1042,36,Female,4,Life Sciences,16,GetYourGuide,Berlin,Travel,Germany,Laboratory Technician,1,1,2743,16,3,No,1,18,17,13,15,14,3,Travel_Rarely,90,17%,10/14/20,Oct-20
1043,39,Female,3,Medical,22,Alto Pharmacy,SF Bay Area,Healthcare,United States,Manufacturing Director,3,1,10880,13,3,Yes,1,21,21,6,2,8,3,Travel_Frequently,47,6%,9/29/20,Sep-20
1044,33,Female,1,Life Sciences,8,NS8,Las Vegas,Data,United States,Sales Representative,1,4,2342,19,3,No,0,3,2,2,2,2,2,Non-Travel,240,95%,09-11-2020,Sep-20
1045,45,Female,2,Life Sciences,11,Waze,SF Bay Area,Transportation,United States,Manager,4,4,17650,13,3,No,3,26,9,3,1,1,4,Travel_Rarely,30,5%,09-09-2020,Sep-20
1046,32,Female,4,Medical,29,GoBear,Singapore,Finance,Singapore,Laboratory Technician,1,3,4025,12,3,No,9,10,8,7,7,7,3,Non-Travel,22,11%,09-01-2020,Sep-20
1047,34,Male,4,Marketing,1,MakeMyTrip,New Delhi,Travel,India,Sales Executive,2,4,9725,11,3,No,0,16,15,1,0,9,2,Travel_Rarely,350,10%,8/31/20,Aug-20
1048,59,Male,2,Technical Degree,1,Salesforce,SF Bay Area,Sales,United States,Manager,3,4,11904,14,3,Yes,3,14,6,4,0,4,1,Travel_Rarely,1000,2%,8/26/20,Aug-20
1049,45,Male,4,Medical,24,Docly,London,Healthcare,United Kingdom,Human Resources,1,2,2177,16,3,No,1,6,6,3,0,4,3,Travel_Rarely,8,80%,8/19/20,Aug-20
1050,53,Female,3,Marketing,2,Mozilla,SF Bay Area,Consumer,United States,Sales Executive,3,2,7525,12,3,No,2,30,15,7,6,12,3,Travel_Frequently,250,25%,08-11-2020,Aug-20
1052,36,Male,3,Other,15,Eatsy,Singapore,Food,Singapore,Laboratory Technician,2,3,4834,14,3,No,7,9,1,0,0,0,2,Travel_Rarely,20,100%,08-08-2020,Aug-20
1053,26,Male,3,Life Sciences,2,Glossier,New York City,Retail,United States,Research Scientist,1,1,2042,14,3,Yes,6,6,3,2,1,2,3,Travel_Frequently,150,38%,08-07-2020,Aug-20
1055,34,Female,4,Life Sciences,10,Thriver,Toronto,Food,Canada,Sales Representative,1,3,2220,19,3,Yes,1,1,1,1,0,0,3,Travel_Rarely,75,50%,08-06-2020,Aug-20
1056,28,Male,1,Medical,10,Booking.com,Amsterdam,Travel,Netherlands,Sales Representative,1,2,1052,22,4,No,1,1,1,0,0,0,3,Travel_Rarely,4375,25%,7/30/20,Jul-20
1060,38,Male,4,Other,3,Buy.com / Rakuten,SF Bay Area,Retail,United States,Research Scientist,1,3,2821,16,3,No,3,8,2,2,2,2,3,Travel_Frequently,87,100%,7/30/20,Jul-20
1061,50,Male,4,Medical,2,Procore,Los Angeles,Construction,United States,Research Director,5,3,19237,11,3,Yes,2,29,8,1,7,7,2,Travel_Rarely,180,9%,7/28/20,Jul-20
1062,37,Female,3,Other,3,Swiggy,Bengaluru,Food,India,Healthcare Representative,2,2,4107,15,3,No,3,8,4,3,0,1,2,Travel_Rarely,350,5%,7/27/20,Jul-20
1066,40,Male,3,Marketing,26,Zeitgold,Berlin,Finance,Germany,Sales Executive,2,1,8396,14,3,No,1,8,7,7,7,5,2,Travel_Rarely,75,72%,7/27/20,Jul-20
1068,26,Female,1,Medical,1,Checkr,SF Bay Area,HR,United States,Research Scientist,1,3,2007,13,3,No,1,5,5,3,1,3,3,Travel_Frequently,64,12%,7/23/20,Jul-20
1069,46,Male,4,Medical,1,LinkedIn,SF Bay Area,Recruiting,United States,Research Director,5,4,19627,17,3,No,9,23,2,2,2,2,3,Travel_Rarely,960,6%,7/21/20,Jul-20
1070,54,Female,4,Life Sciences,2,Lighter Capital,Seattle,Finance,United States,Sales Executive,3,3,10686,11,3,No,6,13,9,4,7,0,3,Travel_Rarely,22,49%,7/20/20,Jul-20
1071,56,Female,3,Medical,9,Optimizely,SF Bay Area,Marketing,United States,Research Scientist,1,3,2942,19,3,No,2,18,5,4,0,3,3,Travel_Frequently,60,15%,7/15/20,Jul-20
1073,36,Female,5,Medical,12,Skyscanner,Edinburgh,Travel,United Kingdom,Manufacturing Director,3,4,8858,11,3,No,0,15,14,8,7,8,2,Travel_Rarely,300,20%,7/14/20,Jul-20
1074,55,Male,1,Medical,2,Zilingo,Singapore,Retail,Singapore,Manager,4,1,16756,15,3,No,7,31,9,7,6,2,4,Non-Travel,100,12%,07-09-2020,Jul-20
1076,43,Male,3,Medical,25,G2,Chicago,Marketing,United States,Sales Executive,3,4,10798,13,3,No,5,18,1,0,0,0,3,Travel_Rarely,17,5%,6/30/20,Jun-20
1077,20,Female,3,Marketing,9,Katerra,SF Bay Area,Construction,United States,Sales Representative,1,4,2323,14,3,Yes,1,2,2,2,0,2,3,Travel_Frequently,400,7%,6/29/20,Jun-20
1079,21,Female,3,Life Sciences,10,Bounce,Bengaluru,Transportation,India,Laboratory Technician,1,1,1416,13,3,No,1,1,1,0,1,0,2,Travel_Rarely,130,22%,6/29/20,Jun-20
1080,46,Female,4,Life Sciences,8,GoDaddy,Austin,Marketing,United States,Research Scientist,2,1,4615,23,4,Yes,8,19,16,13,1,7,3,Travel_Rarely,451,6%,6/24/20,Jun-20
1081,51,Male,4,Life Sciences,4,Sonos,New York City,Consumer,United States,Research Scientist,1,3,2461,12,3,Yes,9,18,10,0,2,7,4,Travel_Rarely,174,12%,6/24/20,Jun-20
1082,28,Male,2,Technical Degree,24,Gojek,Jakarta,Transportation,Indonesia,Healthcare Representative,3,1,8722,12,3,No,1,10,10,7,1,9,2,Non-Travel,430,9%,6/23/20,Jun-20
1083,26,Male,2,Medical,1,ScaleFactor,Austin,Finance,United States,Laboratory Technician,1,1,3955,16,3,No,1,6,5,3,1,3,3,Travel_Rarely,90,90%,6/23/20,Jun-20
1084,30,Male,3,Other,20,Dark,SF Bay Area,Product,United States,Manufacturing Director,2,1,9957,15,3,No,0,7,6,2,0,2,2,Travel_Rarely,6,100%,6/23/20,Jun-20
1085,41,Female,2,Technical Degree,7,Intuit,SF Bay Area,Finance,United States,Research Scientist,1,3,3376,13,3,No,1,10,10,6,0,8,3,Travel_Rarely,715,7%,6/22/20,Jun-20
1088,38,Female,1,Life Sciences,17,Navi,Bengaluru,Finance,India,Healthcare Representative,3,3,8823,18,3,No,0,20,19,9,1,9,2,Travel_Rarely,40,25%,6/17/20,Jun-20
1092,40,Male,4,Technical Degree,20,PaisaBazaar,Gurugram,Finance,India,Healthcare Representative,3,4,10322,20,4,No,4,14,11,10,11,1,3,Travel_Rarely,1500,50%,6/16/20,Jun-20
1094,27,Male,5,Life Sciences,8,Grab,Singapore,Transportation,Singapore,Laboratory Technician,1,3,4621,19,3,No,1,3,3,2,1,2,3,Non-Travel,360,5%,6/16/20,Jun-20
1096,55,Male,1,Life Sciences,2,Splunk,SF Bay Area,Data,United States,Manufacturing Director,3,2,10976,18,3,No,3,23,3,2,1,2,3,Travel_Frequently,70,1%,6/16/20,Jun-20
1097,28,Female,3,Other,10,Redox,Madison,Healthcare,United States,Research Scientist,2,3,3660,13,3,No,3,10,8,7,1,7,4,Travel_Rarely,44,25%,6/16/20,Jun-20
1098,44,Male,2,Medical,1,Uber,Amsterdam,Transportation,Netherlands,Human Resources,3,1,10482,14,3,No,9,24,20,6,3,6,3,Travel_Rarely,225,25%,06-12-2020,Jun-20
1099,33,Male,3,Life Sciences,5,SynapseFI,SF Bay Area,Finance,United States,Healthcare Representative,3,4,7119,15,3,No,4,9,3,2,1,2,3,Travel_Rarely,63,48%,06-12-2020,Jun-20
1100,35,Male,3,Technical Degree,4,ScaleFocus,Sofia,Infrastructure,Bulgaria,Sales Executive,3,1,9582,22,4,Yes,0,9,8,7,4,7,3,Travel_Rarely,120,10%,06-11-2020,Jun-20
1101,33,Female,4,Medical,29,Branch,New York City,Retail,United States,Research Scientist,2,3,4508,22,4,No,1,14,13,7,3,8,3,Travel_Frequently,3,27%,06-11-2020,Jun-20
1102,28,Male,2,Life Sciences,15,Her Campus Media,Boston,Media,United States,Laboratory Technician,1,3,2207,16,3,No,1,4,4,2,2,2,2,Travel_Rarely,10,18%,06-10-2020,Jun-20
1103,34,Male,1,Life Sciences,3,The Athletic,SF Bay Area,Media,United States,Healthcare Representative,2,4,7756,17,3,No,0,7,6,2,0,4,2,Travel_Frequently,46,8%,06-05-2020,Jun-20
1105,37,Female,4,Life Sciences,10,Ethos Life,SF Bay Area,Finance,United States,Sales Executive,2,4,6694,14,3,Yes,2,8,1,0,0,0,3,Travel_Rarely,18,14%,06-05-2020,Jun-20
1106,25,Male,1,Technical Degree,4,Lastline,SF Bay Area,Security,United States,Laboratory Technician,1,4,3691,15,3,Yes,1,7,7,7,5,6,4,Travel_Rarely,50,40%,06-04-2020,Jun-20
1107,26,Male,3,Medical,21,Builder,Los Angeles,Product,United States,Laboratory Technician,1,3,2377,20,4,No,1,1,1,1,0,0,2,Travel_Rarely,39,14%,06-04-2020,Jun-20
1108,33,Male,3,Medical,25,Monzo,London,Finance,United Kingdom,Research Scientist,1,2,2313,20,4,Yes,4,5,2,2,2,2,3,Travel_Rarely,120,8%,06-03-2020,Jun-20
1109,42,Male,2,Medical,2,SpotHero,Chicago,Transportation,United States,Manager,4,1,17665,17,3,No,0,23,22,6,13,7,3,Travel_Rarely,40,21%,06-03-2020,Jun-20
1111,28,Male,3,Medical,1,Credit Sesame,SF Bay Area,Finance,United States,Laboratory Technician,1,2,2596,15,3,No,1,1,1,0,0,0,3,Travel_Frequently,22,14%,06-03-2020,Jun-20
1113,50,Male,4,Other,1,Rivian,Detroit,Transportation,United States,Sales Executive,2,3,4728,14,3,Yes,3,5,0,0,0,0,3,Travel_Frequently,40,2%,06-02-2020,Jun-20
1114,33,Female,3,Life Sciences,7,Fundbox,SF Bay Area,Finance,United States,Sales Executive,2,2,4302,17,3,No,0,4,3,2,0,2,3,Travel_Frequently,14,15%,06-02-2020,Jun-20
1115,34,Male,4,Life Sciences,3,Descartes Labs,Santa Fe,Data,United States,Research Scientist,1,4,2979,17,3,No,3,6,0,0,0,0,3,Non-Travel,12,16%,06-02-2020,Jun-20
1116,48,Male,4,Medical,1,Stitch Fix,SF Bay Area,Retail,United States,Manager,4,4,16885,22,4,No,2,27,5,4,2,1,2,Non-Travel,1400,18%,06-01-2020,Jun-20
1117,45,Female,4,Life Sciences,9,MakeMyTrip,Gurugram,Travel,India,Sales Executive,2,3,5593,13,3,No,1,15,15,10,4,12,3,Non-Travel,350,10%,06-01-2020,Jun-20
1118,52,Male,4,Life Sciences,7,CrowdStreet,Portland,Real Estate,United States,Healthcare Representative,3,2,10445,19,3,No,7,18,8,6,4,0,3,Travel_Rarely,24,22%,06-01-2020,Jun-20
1119,38,Male,4,Marketing,10,Brex,SF Bay Area,Finance,United States,Sales Executive,3,3,8740,14,3,Yes,0,9,8,7,2,7,3,Travel_Rarely,62,15%,5/29/20,May-20
1120,29,Female,4,Life Sciences,28,Loftium,Seattle,Real Estate,United States,Research Scientist,1,4,2514,22,4,No,4,11,7,5,1,7,3,Travel_Rarely,32,60%,5/29/20,May-20
1121,28,Female,3,Medical,3,BookMyShow,Mumbai,Consumer,India,Manufacturing Director,3,2,7655,17,3,No,0,10,9,7,1,7,2,Travel_Rarely,270,18%,5/28/20,May-20
1124,46,Male,1,Marketing,3,TrueCar,Los Angeles,Transportation,United States,Manager,4,3,17465,12,3,No,3,23,12,9,4,9,3,Travel_Rarely,219,30%,5/28/20,May-20
1125,38,Male,2,Marketing,2,Culture Amp,Melbourne,HR,Australia,Sales Executive,3,2,7351,16,3,No,7,10,1,0,0,0,3,Travel_Rarely,36,8%,5/28/20,May-20
1126,43,Female,3,Life Sciences,27,The Sill,New York City,Retail,United States,Manufacturing Director,3,1,10820,11,3,No,8,18,8,7,0,1,3,Travel_Frequently,20,25%,5/28/20,May-20
1127,39,Male,3,Life Sciences,2,Instructure,Salt Lake City,Education,United States,Healthcare Representative,4,4,12169,11,3,No,7,21,18,7,11,5,3,Travel_Frequently,150,12%,5/27/20,May-20
1128,40,Male,3,Medical,14,Ebanx,Curitiba,Finance,Brazil,Research Director,5,3,19626,14,3,No,1,21,20,7,4,9,4,Travel_Rarely,62,8%,5/27/20,May-20
1131,21,Female,1,Technical Degree,1,Uber,Bengaluru,Transportation,India,Research Scientist,1,2,2070,11,3,Yes,1,2,2,2,2,2,4,Travel_Rarely,600,23%,5/26/20,May-20
1132,39,Male,3,Life Sciences,9,Bluprint,Denver,Education,United States,Laboratory Technician,2,2,6782,15,3,No,9,9,5,4,0,3,2,Non-Travel,137,100%,5/26/20,May-20
1133,36,Male,4,Life Sciences,18,Cvent,Washington D.C.,Marketing,United States,Manufacturing Director,2,4,7779,20,4,No,2,18,11,9,0,9,3,Non-Travel,400,10%,5/21/20,May-20
1135,31,Male,3,Life Sciences,20,PickYourTrail,Chennai,Travel,India,Sales Representative,1,4,2791,12,3,No,0,3,2,2,2,2,3,Travel_Frequently,70,35%,5/21/20,May-20
1136,28,Male,1,Life Sciences,2,Glitch,New York City,Product,United States,Research Scientist,1,2,3201,17,3,No,0,6,5,3,0,4,1,Travel_Rarely,18,36%,5/21/20,May-20
1137,35,Male,2,Marketing,11,Ola,Bengaluru,Transportation,India,Sales Executive,2,4,4968,11,3,No,1,5,5,2,0,2,3,Travel_Frequently,1400,35%,5/20/20,May-20
1138,49,Male,4,Technical Degree,8,Samsara,SF Bay Area,Logistics,United States,Sales Executive,4,2,13120,17,3,No,6,22,9,8,2,3,3,Travel_Rarely,300,18%,5/20/20,May-20
1140,34,Male,2,Life Sciences,2,Stay Alfred,Spokane,Travel,United States,Manufacturing Director,2,3,4033,11,3,No,2,5,3,2,0,2,2,Travel_Frequently,221,100%,5/20/20,May-20
1143,29,Female,3,Life Sciences,10,SoFi,SF Bay Area,Finance,United States,Research Scientist,1,2,3291,14,3,No,0,8,7,5,1,1,2,Travel_Frequently,112,7%,5/20/20,May-20
1148,42,Male,3,Medical,29,ShareChat,Bengaluru,Marketing,India,Laboratory Technician,2,4,4272,19,3,No,4,16,1,0,0,0,3,Travel_Rarely,101,25%,5/20/20,May-20
1150,29,Male,1,Medical,8,Intercom,SF Bay Area,Support,United States,Manufacturing Director,2,4,5056,15,3,Yes,1,10,10,7,1,2,2,Travel_Rarely,39,6%,5/20/20,May-20
1152,38,Male,3,Human Resources,1,Livspace,Bengaluru,Retail,India,Human Resources,1,3,2844,13,3,No,1,7,7,6,5,0,4,Travel_Rarely,450,15%,5/19/20,May-20
1154,28,Male,3,Life Sciences,6,Pollen,London,Travel,United Kingdom,Research Scientist,1,3,2703,14,3,Yes,1,3,3,1,0,2,3,Travel_Frequently,69,31%,5/19/20,May-20
1156,18,Male,1,Medical,8,Dotscience,London,Product,United Kingdom,Laboratory Technician,1,3,1904,12,3,No,1,0,0,0,0,0,3,Non-Travel,10,100%,5/19/20,May-20
1157,33,Female,4,Marketing,9,Uber,SF Bay Area,Transportation,United States,Sales Executive,2,1,8224,17,3,Yes,0,6,5,2,0,3,3,Travel_Rarely,3000,13%,5/18/20,May-20
1158,41,Male,4,Life Sciences,12,Agoda,Singapore,Travel,Singapore,Laboratory Technician,1,4,4766,11,3,Yes,3,6,1,0,0,0,3,Travel_Rarely,1500,25%,5/18/20,May-20
1160,31,Male,3,Medical,15,Swiggy,Bengaluru,Food,India,Laboratory Technician,1,3,2610,12,3,No,1,2,2,2,2,2,2,Travel_Frequently,1100,14%,5/18/20,May-20
1161,37,Female,2,Medical,25,WeWork,New Delhi,Real Estate,India,Healthcare Representative,2,4,5731,13,3,No,7,9,6,2,1,3,3,Travel_Rarely,100,20%,5/18/20,May-20
1162,27,Male,3,Life Sciences,6,Intapp,SF Bay Area,Legal,United States,Research Scientist,1,3,2539,13,3,No,1,4,4,2,2,2,3,Travel_Rarely,45,5%,5/18/20,May-20
1163,34,Female,1,Life Sciences,9,Zomato,Gurugram,Food,India,Sales Executive,2,3,5714,20,4,No,1,6,6,5,1,3,2,Travel_Rarely,520,13%,5/15/20,May-20
1164,35,Male,4,Technical Degree,8,Lendingkart,Ahmedabad,Finance,India,Human Resources,1,3,4323,17,3,No,1,6,5,4,1,4,1,Travel_Rarely,500,50%,5/15/20,May-20
1165,29,Female,1,Life Sciences,23,Lattice,SF Bay Area,HR,United States,Sales Executive,3,1,7336,13,3,No,1,11,11,8,3,10,1,Travel_Rarely,16,10%,5/15/20,May-20
1166,40,Female,4,Medical,9,Cruise,SF Bay Area,Transportation,United States,Research Director,3,3,13499,17,3,No,9,20,18,7,2,13,2,Travel_Frequently,150,8%,5/14/20,May-20
1167,42,Male,3,Life Sciences,12,Quartz,New York City,Media,United States,Sales Executive,4,1,13758,12,3,Yes,0,22,21,9,13,14,2,Travel_Frequently,80,40%,5/14/20,May-20
1171,42,Male,4,Marketing,4,Integral Ad Science,New York City,Marketing,United States,Sales Executive,2,1,5155,13,3,No,7,9,6,4,1,5,4,Travel_Rarely,70,10%,5/14/20,May-20
1172,35,Male,4,Medical,1,Ridecell,SF Bay Area,Transportation,United States,Laboratory Technician,1,3,2258,12,3,No,6,10,8,0,1,7,3,Travel_Rarely,35,15%,5/14/20,May-20
1173,24,Male,3,Medical,24,Deliv,SF Bay Area,Retail,United States,Laboratory Technician,1,2,3597,22,4,No,8,6,4,3,1,2,3,Travel_Rarely,669,100%,5/13/20,May-20
1175,28,Female,1,Life Sciences,12,Mercos,Joinville,Sales,Brazil,Laboratory Technician,1,4,2515,11,3,Yes,1,1,1,1,0,0,2,Travel_Rarely,51,40%,5/13/20,May-20
1177,26,Male,4,Medical,3,Kickstarter,New York City,Finance,United States,Laboratory Technician,1,4,4420,22,4,No,1,8,8,7,0,7,3,Travel_Rarely,25,18%,5/13/20,May-20
1179,30,Male,3,Marketing,10,Intersect,Toronto,Product,Canada,Sales Executive,2,3,6578,18,3,No,1,10,10,3,1,4,3,Travel_Rarely,19,11%,5/13/20,May-20
1180,40,Female,2,Medical,26,Stone,Sao Paulo,Finance,Brazil,Research Scientist,2,4,4422,13,3,Yes,3,16,1,1,0,0,1,Travel_Frequently,1300,20%,05-12-2020,May-20
1182,35,Male,3,Life Sciences,2,Zeus Living,SF Bay Area,Real Estate,United States,Manufacturing Director,3,2,10274,18,3,No,2,15,7,7,6,4,4,Travel_Rarely,73,50%,05-12-2020,May-20
1184,34,Male,3,Medical,1,Mixpanel,SF Bay Area,Data,United States,Healthcare Representative,2,1,5343,20,4,No,0,14,13,9,4,9,3,Travel_Frequently,65,19%,05-12-2020,May-20
1185,35,Male,4,Other,4,Hireology,Chicago,Recruiting,United States,Laboratory Technician,1,4,2376,13,3,No,1,2,2,2,2,2,4,Travel_Frequently,36,17%,05-12-2020,May-20
1188,43,Female,3,Marketing,9,Top Hat,Toronto,Education,Canada,Sales Executive,2,3,5346,13,3,No,8,7,4,3,1,3,2,Travel_Rarely,16,3%,05-12-2020,May-20
1190,32,Female,1,Life Sciences,2,Revolut,London,Finance,United Kingdom,Sales Representative,1,1,2827,12,3,No,1,1,1,0,0,0,3,Non-Travel,60,3%,05-11-2020,May-20
1191,56,Female,4,Technical Degree,4,Cadre,New York City,Real Estate,United States,Manager,5,1,19943,13,3,No,4,28,5,2,4,2,3,Travel_Rarely,28,25%,05-11-2020,May-20
1192,29,Female,1,Medical,6,N26,New York City,Finance,United States,Laboratory Technician,1,4,3131,13,3,No,1,10,10,8,0,8,3,Travel_Rarely,9,1%,05-08-2020,May-20
1193,19,Male,2,Life Sciences,9,Jump,New York City,Transportation,United States,Research Scientist,1,1,2552,25,4,No,1,1,1,1,0,0,3,Travel_Rarely,500,100%,05-07-2020,May-20
1195,45,Female,3,Medical,7,Glassdoor,SF Bay Area,Recruiting,United States,Research Scientist,1,3,4477,19,3,Yes,4,7,3,2,0,2,2,Travel_Rarely,300,30%,05-07-2020,May-20
1196,37,Female,3,Life Sciences,1,Numbrs,Zurich,Finance,Switzerland,Manufacturing Director,2,4,6474,13,3,No,1,14,14,8,3,11,2,Travel_Rarely,62,50%,05-07-2020,May-20
1198,20,Male,3,Life Sciences,3,Flywire,Boston,Finance,United States,Laboratory Technician,1,3,3033,12,3,No,1,2,2,2,1,2,2,Travel_Rarely,60,12%,05-07-2020,May-20
1200,44,Male,4,Life Sciences,10,Tally,SF Bay Area,Finance,United States,Research Scientist,1,3,2936,11,3,Yes,1,6,6,4,0,2,3,Travel_Rarely,28,23%,05-07-2020,May-20
1201,53,Female,2,Medical,7,Uber,SF Bay Area,Transportation,United States,Manager,5,3,18606,18,3,No,3,26,7,7,4,7,3,Travel_Rarely,3700,14%,05-06-2020,May-20
1202,29,Female,1,Life Sciences,15,Validity,Boston,Data,United States,Research Scientist,1,4,2168,18,3,Yes,0,6,5,4,1,3,2,Travel_Rarely,130,33%,05-06-2020,May-20
1203,22,Male,4,Life Sciences,3,Rubicon Project,Los Angeles,Marketing,United States,Research Scientist,1,4,2853,11,3,Yes,0,1,0,0,0,0,3,Travel_Frequently,50,8%,05-06-2020,May-20
1204,46,Female,3,Marketing,2,Segment,SF Bay Area,Data,United States,Manager,4,1,17048,23,4,No,8,28,26,15,15,9,3,Travel_Rarely,50,10%,05-06-2020,May-20
1206,44,Male,3,Life Sciences,17,Airbnb,SF Bay Area,Travel,United States,Research Scientist,1,3,2290,13,3,No,2,6,0,0,0,0,3,Non-Travel,1900,25%,05-05-2020,May-20
1207,33,Male,3,Human Resources,2,Juul,SF Bay Area,Consumer,United States,Human Resources,1,3,3600,13,3,No,1,5,5,4,1,4,3,Travel_Rarely,900,30%,05-05-2020,May-20
1210,41,Male,2,Life Sciences,5,Andela,New York City,Recruiting,United States,Research Scientist,1,1,2107,17,3,No,6,5,1,0,0,0,1,Non-Travel,135,10%,05-05-2020,May-20
1211,30,Male,4,Life Sciences,29,Stack Overflow,New York City,Recruiting,United States,Sales Executive,2,1,4115,19,3,No,8,8,4,3,0,3,3,Travel_Rarely,40,15%,05-05-2020,May-20
1212,40,Male,4,Medical,2,Workable,Boston,Recruiting,United States,Sales Executive,2,2,4327,12,3,No,5,5,0,0,0,0,3,Travel_Frequently,25,10%,05-05-2020,May-20
1215,50,Female,3,Medical,2,CureFit,Bengaluru,Fitness,India,Manager,4,1,17856,22,4,No,2,32,2,2,2,2,3,Travel_Frequently,800,16%,05-04-2020,May-20
1216,28,Male,4,Medical,19,Careem,Dubai,Transportation,United Arab Emirates,Laboratory Technician,1,1,3196,12,3,No,1,6,6,5,3,3,3,Travel_Rarely,536,31%,05-04-2020,May-20
1217,46,Male,2,Life Sciences,15,Oriente,Hong Kong,Finance,Hong Kong,Research Director,5,2,19081,11,3,No,5,25,4,2,0,3,3,Travel_Rarely,400,20%,05-04-2020,May-20
1218,35,Male,4,Life Sciences,17,Veriff,Tallin,Security,Estonia,Sales Executive,2,1,8966,15,3,Yes,3,15,7,7,1,7,3,Travel_Rarely,63,21%,05-04-2020,May-20
1219,24,Female,2,Life Sciences,17,Element AI,Montreal,Other,Canada,Laboratory Technician,1,2,2210,13,3,No,1,1,1,0,0,0,1,Travel_Rarely,62,15%,05-04-2020,May-20
1220,33,Female,3,Medical,25,Deputy,Sydney,HR,Australia,Sales Executive,2,3,4539,12,3,No,1,10,10,7,0,1,2,Travel_Frequently,60,30%,05-04-2020,May-20
1221,36,Male,4,Life Sciences,6,Loopio,Toronto,Sales,Canada,Laboratory Technician,1,3,2741,14,3,No,1,7,7,7,1,7,3,Travel_Rarely,11,8%,05-04-2020,May-20
1224,30,Male,4,Life Sciences,7,Trax,Tel Aviv,Retail,Israel,Laboratory Technician,2,3,3491,13,3,No,1,10,10,7,8,9,2,Travel_Rarely,120,10%,05-03-2020,May-20
1225,44,Male,4,Other,29,Namely,New York City,HR,United States,Research Scientist,2,4,4541,25,4,No,1,20,20,11,13,17,3,Travel_Rarely,110,40%,05-01-2020,May-20
1226,20,Male,3,Marketing,21,Culture Trip,London,Media,United Kingdom,Sales Representative,1,4,2678,17,3,No,1,2,2,1,2,2,3,Travel_Rarely,95,32%,05-01-2020,May-20
1228,46,Male,4,Technical Degree,2,Sandbox VR,SF Bay Area,Consumer,United States,Manufacturing Director,2,4,7379,11,3,No,2,12,6,3,1,4,2,Travel_Rarely,80,80%,05-01-2020,May-20
1231,42,Male,5,Medical,2,TheSkimm,New York City,Media,United States,Human Resources,2,1,6272,16,3,No,7,10,4,3,0,3,4,Non-Travel,26,20%,05-01-2020,May-20
1233,60,Male,4,Marketing,7,Lyft,SF Bay Area,Transportation,United States,Sales Executive,2,4,5220,18,3,Yes,0,12,11,7,1,9,3,Travel_Rarely,982,17%,4/29/20,Apr-20
1234,32,Female,3,Other,13,Kayak / OpenTable,Stamford,Travel,United States,Laboratory Technician,1,2,2743,20,4,No,1,2,2,2,2,2,3,Travel_Frequently,160,8%,4/29/20,Apr-20
1235,32,Female,2,Life Sciences,2,Lime,SF Bay Area,Transportation,United States,Research Scientist,2,3,4998,14,3,Yes,4,10,8,7,0,7,3,Travel_Frequently,80,13%,4/29/20,Apr-20
1237,36,Female,3,Technical Degree,1,Transfix,New York City,Logistics,United States,Manufacturing Director,3,1,10252,21,4,Yes,2,17,7,7,7,7,3,Travel_Rarely,24,10%,4/29/20,Apr-20
1238,33,Male,3,Medical,9,TripAdvisor,Boston,Travel,United States,Research Scientist,1,4,2781,13,3,No,0,15,14,10,4,10,3,Travel_Rarely,900,25%,4/28/20,Apr-20
1239,40,Female,3,Technical Degree,10,Renmoney,Lagos,Finance,Nigeria,Sales Executive,2,2,6852,12,3,No,7,7,5,1,1,3,4,Travel_Rarely,391,50%,4/28/20,Apr-20
1240,25,Male,4,Life Sciences,10,Deliveroo,London,Food,United Kingdom,Sales Executive,2,4,4950,14,3,No,0,5,4,3,1,1,3,Travel_Rarely,367,15%,4/28/20,Apr-20
1241,30,Male,3,Medical,1,App Annie,SF Bay Area,Data,United States,Research Scientist,1,2,3579,21,4,Yes,0,12,11,9,5,7,3,Travel_Rarely,80,18%,4/28/20,Apr-20
1242,42,Female,5,Medical,26,OpenX,Los Angeles,Marketing,United States,Research Director,3,1,13191,17,3,Yes,3,20,1,0,0,0,3,Travel_Frequently,35,15%,4/28/20,Apr-20
1243,35,Female,2,Marketing,8,PayJoy,SF Bay Area,Finance,United States,Sales Executive,3,4,10377,11,3,Yes,4,16,13,2,4,12,2,Non-Travel,27,25%,4/28/20,Apr-20
1244,27,Male,3,Life Sciences,14,Shipsi,Los Angeles,Retail,United States,Research Scientist,1,1,2235,14,3,Yes,1,9,9,7,6,8,2,Travel_Rarely,20,50%,4/28/20,Apr-20
1245,54,Female,4,Life Sciences,1,Automation Anywhere,SF Bay Area,Other,United States,Manufacturing Director,3,3,10502,17,3,No,7,33,5,4,1,4,1,Travel_Frequently,260,10%,4/27/20,Apr-20
1246,44,Female,1,Life Sciences,2,JetClosing,Seattle,Real Estate,United States,Research Scientist,1,4,2011,13,3,No,1,10,10,5,7,7,3,Travel_Rarely,20,20%,4/27/20,Apr-20
1248,19,Female,3,Medical,10,Stoqo,Jakarta,Food,Indonesia,Research Scientist,1,2,1859,25,4,Yes,1,1,1,1,0,0,4,Non-Travel,250,100%,4/25/20,Apr-20
